bc_max,bc_mean,bc_p90,clean_count_000,clean_count_030,clean_count_035,clean_count_040,clean_count_045,clean_count_050,closed_run_count,configured_clean_count,configured_g_domain_valid,configured_support_count,configured_support_domain_valid,configured_support_seed_count,configured_support_weight,error,g_domain_valid_000,g_domain_valid_030,g_domain_valid_035,g_domain_valid_040,g_domain_valid_045,g_domain_valid_050,item_name,num_prompt_runs,open_run_count,prompt_id,prompt_ref_len_sec,prompt_ref_len_valid,prompt_speech_ratio,prompt_speech_ratio_valid,raw_silent_token_count,sep_nonzero_count,source_silence_run_count,speaker,speech_run_count,split,support_count_000,support_count_030,support_count_035,support_count_040,support_count_045,support_count_050,support_domain_valid_000,support_domain_valid_030,support_domain_valid_035,support_domain_valid_040,support_domain_valid_045,support_domain_valid_050,support_seed_count_000,support_seed_count_030,support_seed_count_035,support_seed_count_040,support_seed_count_045,support_seed_count_050,support_weight_000,support_weight_030,support_weight_035,support_weight_040,support_weight_045,support_weight_050,valid_run_count
,,,,,,,,,,,,,,,,"minimal_v1 prompt conditioning rejects prompt conditioning for slt_train_arctic_a0015: ref_len_sec=1.880 outside [3.0, 8.0]",,,,,,,slt_train_arctic_a0015,,,arctic_a0015,,,,,,,,slt,,train,,,,,,,,,,,,,,,,,,,,,,,,,
0.4876706600189209,0.24218051135540009,0.35046324133872986,40.0,8.0,5.0,3.0,1.0,0.0,40.0,0.0,0.0,38.0,1.0,40.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,slt_train_arctic_a0016,40,0.0,arctic_a0016,3.5799999237060547,1.0,1.0,1.0,0,0,0.0,slt,40.0,train,38.0,6.0,3.0,1.0,1.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,8.0,5.0,3.0,1.0,40.0,27.72650146484375,5.251899719238281,2.6577842235565186,0.8896780014038086,0.8975341320037842,0.0,40.0
0.4473732113838196,0.24497705698013306,0.39057207107543945,15.0,5.0,3.0,2.0,0.0,0.0,15.0,0.0,0.0,13.0,1.0,15.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,aba_valid_arctic_a0001,15,0.0,arctic_a0001,3.2200000286102295,1.0,1.0,1.0,0,0,0.0,aba,15.0,valid,13.0,3.0,1.0,2.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,5.0,3.0,2.0,15.0,15.0,10.39783000946045,2.64213228225708,0.8830513954162598,1.7725260257720947,0.0,0.0,15.0
0.447027325630188,0.2418852001428604,0.4267008602619171,30.0,5.0,5.0,4.0,0.0,0.0,30.0,0.0,0.0,28.0,1.0,30.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,aba_valid_arctic_a0002,30,0.0,arctic_a0002,5.239999771118164,1.0,1.0,1.0,0,0,0.0,aba,30.0,valid,28.0,3.0,3.0,2.0,28.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,5.0,5.0,4.0,30.0,30.0,23.378292083740234,2.6495492458343506,2.6495492458343506,1.7787737846374512,0.0,0.0,30.0
0.4490956664085388,0.2457444667816162,0.37871502339839935,16.0,4.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,14.0,1.0,16.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,aba_valid_arctic_a0003,16,0.0,arctic_a0003,4.940000057220459,1.0,1.0,1.0,0,0,0.0,aba,16.0,valid,14.0,2.0,1.0,1.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,4.0,3.0,1.0,16.0,16.0,11.276199340820312,1.75148606300354,0.8770030736923218,0.8898191452026367,0.0,0.0,16.0
0.3810945153236389,0.25061139464378357,0.37928385138511655,8.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,1.0,8.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,aba_valid_arctic_a0004,8,0.0,arctic_a0004,3.380000114440918,1.0,1.0,1.0,0,0,0.0,aba,8.0,valid,6.0,2.0,2.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,2.0,8.0,8.0,8.0,5.119040489196777,1.751920461654663,1.751920461654663,0.0,0.0,0.0,8.0
0.46511340141296387,0.24280087649822235,0.3923557043075561,29.0,6.0,4.0,3.0,2.0,0.0,29.0,0.0,0.0,27.0,1.0,29.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,asi_valid_arctic_a0001,29,0.0,arctic_a0001,3.119999885559082,1.0,1.0,1.0,0,0,0.0,asi,29.0,valid,27.0,4.0,2.0,1.0,2.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,6.0,4.0,3.0,2.0,29.0,20.759193420410156,3.5182008743286133,1.759922981262207,0.8824453353881836,1.7831902503967285,0.0,29.0
0.48054009675979614,0.2395866960287094,0.3714572936296463,26.0,4.0,3.0,3.0,1.0,0.0,26.0,0.0,0.0,24.0,1.0,26.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,asi_valid_arctic_a0002,26,0.0,arctic_a0002,3.4800000190734863,1.0,1.0,1.0,0,0,0.0,asi,26.0,valid,24.0,2.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,4.0,3.0,3.0,1.0,26.0,18.8059024810791,1.775871992111206,0.8896640539169312,0.8896640539169312,0.8961080312728882,0.0,26.0
0.4562862813472748,0.24492540955543518,0.41568104028701786,27.0,7.0,4.0,4.0,1.0,0.0,27.0,0.0,0.0,25.0,1.0,27.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,asi_valid_arctic_a0003,27,0.0,arctic_a0003,3.7200000286102295,1.0,1.0,1.0,0,0,0.0,asi,27.0,valid,25.0,5.0,2.0,2.0,1.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,7.0,4.0,4.0,1.0,27.0,19.964561462402344,4.386462211608887,1.7668614387512207,1.7668614387512207,0.8912572860717773,0.0,27.0
,,,,,,,,,,,,,,,,"minimal_v1 prompt conditioning rejects prompt conditioning for asi_valid_arctic_a0004: ref_len_sec=2.500 outside [3.0, 8.0]",,,,,,,asi_valid_arctic_a0004,,,arctic_a0004,,,,,,,,asi,,valid,,,,,,,,,,,,,,,,,,,,,,,,,
0.4580467939376831,0.24357984960079193,0.37263648211956024,26.0,5.0,3.0,3.0,2.0,0.0,26.0,0.0,0.0,24.0,1.0,26.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,bdl_valid_arctic_a0001,26,0.0,arctic_a0001,3.240000009536743,1.0,1.0,1.0,0,0,0.0,bdl,26.0,valid,24.0,3.0,1.0,1.0,2.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,5.0,3.0,3.0,2.0,26.0,18.813383102416992,2.6396448612213135,0.8905901908874512,0.8905901908874512,1.7821996212005615,0.0,26.0
0.47284334897994995,0.24170009791851044,0.33551012575626377,14.0,3.0,1.0,1.0,1.0,0.0,14.0,0.0,0.0,12.0,1.0,14.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,bdl_valid_arctic_a0002,14,0.0,arctic_a0002,3.380000114440918,1.0,1.0,1.0,0,0,0.0,bdl,14.0,valid,12.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,3.0,1.0,1.0,1.0,14.0,9.262774467468262,0.894568681716919,0.894568681716919,0.894568681716919,0.894568681716919,0.0,14.0
0.4560919404029846,0.2449091374874115,0.3962671458721161,38.0,9.0,8.0,3.0,1.0,0.0,38.0,0.0,0.0,36.0,1.0,38.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,bdl_valid_arctic_a0003,38,0.0,arctic_a0003,3.380000114440918,1.0,1.0,1.0,0,0,0.0,bdl,38.0,valid,36.0,7.0,6.0,1.0,1.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,9.0,8.0,3.0,1.0,38.0,28.439420700073242,6.149538993835449,5.286003112792969,0.8816950917243958,0.8912184238433838,0.0,38.0
,,,,,,,,,,,,,,,,"minimal_v1 prompt conditioning rejects prompt conditioning for bdl_valid_arctic_a0004: ref_len_sec=2.580 outside [3.0, 8.0]",,,,,,,bdl_valid_arctic_a0004,,,arctic_a0004,,,,,,,,bdl,,valid,,,,,,,,,,,,,,,,,,,,,,,,,
0.4637618064880371,0.24111397564411163,0.42033076882362364,37.0,7.0,6.0,5.0,3.0,0.0,37.0,0.0,0.0,35.0,1.0,37.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,slt_valid_arctic_a0001,37,0.0,arctic_a0001,3.359999895095825,1.0,1.0,1.0,0,0,0.0,slt,37.0,valid,35.0,5.0,4.0,3.0,1.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,7.0,6.0,5.0,3.0,37.0,25.39873695373535,4.402313232421875,3.5323774814605713,2.660674571990967,0.8920555114746094,0.0,37.0
