c_star,candidate_token,clean_count,delta_g,delta_g_ref_minus_src_prefix,delta_g_ref_minus_src_utt,drop_edge_runs_for_g,edge_runs_dropped,fetch_index,g_domain_valid,g_ref,g_ref_status,g_src_prefix_mean,g_src_status,g_src_utt,pair_id,prompt_ref_len_sec,prompt_speech_ratio,ref_item_name,ref_len_valid,ref_spk,same_speaker_reference,same_speaker_target,same_text_reference,same_text_target,speech_ratio_valid,split,src_item_name,src_spk,support_count,support_domain_valid,support_fraction,support_seed_count,tgt_item_name,tgt_spk,zbar_sp_star
-0.9341455101966858,57,0.0,0.9162907600402832,1.0911584496498108,0.9162907600402832,3,6.0,12,0,1.6094379425048828,ok,0.518279492855072,ok,0.6931471824645996,4,3.240000009536743,1.0,asi_train_arctic_a0009,1,asi,1,0,0,1,1,train,asi_train_arctic_a0013,asi,26.0,1.0,0.8125,32.0,bdl_train_arctic_a0013,bdl,0.1335313320159912
-0.7110019326210022,71,9.0,0.6931471824645996,0.8680148720741272,0.6931471824645996,1,2.0,12,0,1.3862943649291992,ok,0.518279492855072,ok,0.6931471824645996,4,2.359999895095825,1.0,asi_train_arctic_a0009,0,asi,1,0,0,1,1,train,asi_train_arctic_a0013,asi,7.0,1.0,0.25,9.0,bdl_train_arctic_a0013,bdl,0.1335313320159912
-0.017854750156402588,71,9.0,0.0,0.1748676896095276,0.0,3,6.0,12,0,0.6931471824645996,ok,0.518279492855072,ok,0.6931471824645996,4,2.359999895095825,1.0,asi_train_arctic_a0009,0,asi,1,0,0,1,1,train,asi_train_arctic_a0013,asi,3.0,1.0,0.1071428582072258,9.0,bdl_train_arctic_a0013,bdl,0.1335313320159912
-0.4760001301765442,72,2.0,0.4581453800201416,0.6330130696296692,0.4581453800201416,1,0.0,12,1,1.1512925624847412,ok,0.518279492855072,ok,0.6931471824645996,4,3.140000104904175,1.0,asi_train_arctic_a0009,1,asi,1,0,0,1,1,train,asi_train_arctic_a0013,asi,2.0,1.0,0.0625,2.0,bdl_train_arctic_a0013,bdl,0.1335313320159912
-0.4760001301765442,72,2.0,0.4581453800201416,0.6330130696296692,0.4581453800201416,3,0.0,12,1,1.1512925624847412,ok,0.518279492855072,ok,0.6931471824645996,4,3.140000104904175,1.0,asi_train_arctic_a0009,1,asi,1,0,0,1,1,train,asi_train_arctic_a0013,asi,2.0,1.0,0.0625,2.0,bdl_train_arctic_a0013,bdl,0.1335313320159912
-0.017854750156402588,63,8.0,0.0,0.1748676896095276,0.0,1,2.0,12,1,0.6931471824645996,ok,0.518279492855072,ok,0.6931471824645996,4,3.0,1.0,asi_train_arctic_a0009,1,asi,1,0,0,1,1,train,asi_train_arctic_a0013,asi,6.0,1.0,0.1875,8.0,bdl_train_arctic_a0013,bdl,0.1335313320159912
-0.7110019326210022,63,8.0,0.6931471824645996,0.8680148720741272,0.6931471824645996,3,6.0,12,1,1.3862943649291992,ok,0.518279492855072,ok,0.6931471824645996,4,3.0,1.0,asi_train_arctic_a0009,1,asi,1,0,0,1,1,train,asi_train_arctic_a0013,asi,2.0,1.0,0.0625,8.0,bdl_train_arctic_a0013,bdl,0.1335313320159912
-0.8064815998077393,57,0.0,0.1115717887878418,0.9381139278411865,0.1115717887878418,1,2.0,13,0,1.497866153717041,ok,0.5597522258758545,ok,1.3862943649291992,5,3.240000009536743,1.0,asi_train_arctic_a0009,1,asi,1,0,0,1,1,train,asi_train_arctic_a0014,asi,30.0,1.0,0.9375,32.0,bdl_train_arctic_a0014,bdl,0.0
-0.918053388595581,57,0.0,0.1115717887878418,1.0496857166290283,0.1115717887878418,3,6.0,13,0,1.6094379425048828,ok,0.5597522258758545,ok,1.497866153717041,5,3.240000009536743,1.0,asi_train_arctic_a0009,1,asi,1,0,0,1,1,train,asi_train_arctic_a0014,asi,26.0,1.0,0.8125,32.0,bdl_train_arctic_a0014,bdl,0.0
-0.6949098110198975,71,9.0,0.0,0.8265421390533447,0.0,1,2.0,13,0,1.3862943649291992,ok,0.5597522258758545,ok,1.3862943649291992,5,2.359999895095825,1.0,asi_train_arctic_a0009,0,asi,1,0,0,1,1,train,asi_train_arctic_a0014,asi,7.0,1.0,0.25,9.0,bdl_train_arctic_a0014,bdl,0.0
