bc_max,bc_mean,bc_p90,clean_count_000,clean_count_030,clean_count_035,clean_count_040,clean_count_045,clean_count_050,closed_run_count,configured_clean_count,configured_g_domain_valid,configured_support_count,configured_support_domain_valid,configured_support_seed_count,configured_support_weight,g_domain_valid_000,g_domain_valid_030,g_domain_valid_035,g_domain_valid_040,g_domain_valid_045,g_domain_valid_050,item_name,num_prompt_runs,open_run_count,prompt_id,prompt_ref_len_sec,prompt_ref_len_valid,prompt_speech_ratio,prompt_speech_ratio_valid,raw_silent_token_count,sep_nonzero_count,source_boundary_max,source_phrase_reachable,source_phrase_threshold,source_silence_run_count,speaker,speech_run_count,split,support_count_000,support_count_030,support_count_035,support_count_040,support_count_045,support_count_050,support_domain_valid_000,support_domain_valid_030,support_domain_valid_035,support_domain_valid_040,support_domain_valid_045,support_domain_valid_050,support_seed_count_000,support_seed_count_030,support_seed_count_035,support_seed_count_040,support_seed_count_045,support_seed_count_050,support_weight_000,support_weight_030,support_weight_035,support_weight_040,support_weight_045,support_weight_050,valid_run_count
0.8463292717933655,0.4126068353652954,0.6465570330619812,28.0,11.0,10.0,8.0,7.0,5.0,36.0,5.0,1.0,3.0,1.0,5.0,13.28983211517334,1.0,1.0,1.0,1.0,1.0,1.0,asi_train_arctic_a0019,36,0.0,arctic_a0019,3.880000114440918,1.0,0.7938144207000732,1.0,0,10,0.8757478594779968,1.0,0.55,8.0,asi,28.0,train,26.0,9.0,8.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,11.0,10.0,8.0,7.0,5.0,18.871532440185547,13.28983211517334,13.28983211517334,13.28983211517334,13.28983211517334,13.28983211517334,36.0
0.9484045505523682,0.4920467436313629,0.759620678424836,24.0,13.0,9.0,9.0,8.0,8.0,38.0,8.0,1.0,6.0,1.0,8.0,11.175347328186035,1.0,1.0,1.0,1.0,1.0,1.0,asi_train_arctic_a0020,38,0.0,arctic_a0020,3.619999885559082,1.0,0.7624309659004211,1.0,0,19,0.9581032395362854,1.0,0.55,14.0,asi,24.0,train,22.0,11.0,7.0,7.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,13.0,9.0,9.0,8.0,8.0,14.626364707946777,11.265610694885254,11.175347328186035,11.175347328186035,11.175347328186035,11.175347328186035,38.0
0.94400954246521,0.4330489933490753,0.6729768514633179,40.0,24.0,17.0,14.0,11.0,10.0,51.0,10.0,1.0,8.0,1.0,10.0,19.054166793823242,1.0,1.0,1.0,1.0,1.0,1.0,asi_train_arctic_a0022,51,0.0,arctic_a0022,4.179999828338623,1.0,0.880382776260376,1.0,0,17,0.9549252986907959,1.0,0.55,11.0,asi,40.0,train,38.0,22.0,15.0,12.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,24.0,17.0,14.0,11.0,10.0,27.313945770263672,19.903303146362305,19.054166793823242,19.054166793823242,19.054166793823242,19.054166793823242,51.0
0.9491891860961914,0.43234118819236755,0.6638968706130982,52.0,26.0,16.0,14.0,12.0,11.0,69.0,11.0,1.0,9.0,1.0,11.0,24.9477596282959,1.0,1.0,1.0,1.0,1.0,1.0,asi_train_arctic_a0023,69,0.0,arctic_a0023,5.320000171661377,1.0,0.8458646535873413,1.0,0,23,0.9589163064956665,1.0,0.55,17.0,asi,52.0,train,50.0,24.0,14.0,12.0,10.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,52.0,26.0,16.0,14.0,12.0,11.0,37.381866455078125,24.99609375,24.9477596282959,24.9477596282959,24.9477596282959,24.9477596282959,69.0
0.939180850982666,0.3916012644767761,0.6203219592571259,57.0,29.0,21.0,16.0,12.0,12.0,66.0,12.0,1.0,10.0,1.0,12.0,25.922649383544922,1.0,1.0,1.0,1.0,1.0,1.0,asi_train_arctic_a0024,66,0.0,arctic_a0024,3.8399999141693115,1.0,0.8645833134651184,1.0,0,14,0.950785219669342,1.0,0.55,9.0,asi,57.0,train,55.0,27.0,19.0,14.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,57.0,29.0,21.0,16.0,12.0,12.0,38.287044525146484,26.123451232910156,25.922649383544922,25.922649383544922,25.922649383544922,25.922649383544922,66.0
0.875037670135498,0.4684542119503021,0.7003377914428711,34.0,20.0,15.0,13.0,12.0,11.0,49.0,11.0,1.0,9.0,1.0,11.0,15.840047836303711,1.0,1.0,1.0,1.0,1.0,1.0,asi_train_arctic_a0027,49,0.0,arctic_a0027,4.059999942779541,1.0,0.7881773114204407,1.0,0,21,0.8990007042884827,1.0,0.55,15.0,asi,34.0,train,32.0,18.0,13.0,11.0,10.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,20.0,15.0,13.0,12.0,11.0,22.116670608520508,16.682239532470703,15.840047836303711,15.840047836303711,15.840047836303711,15.840047836303711,49.0
0.9095607995986938,0.4083324074745178,0.6661010980606079,37.0,18.0,11.0,10.0,9.0,7.0,45.0,7.0,1.0,5.0,1.0,7.0,17.07526206970215,1.0,1.0,1.0,1.0,1.0,1.0,bdl_train_arctic_a0016,45,0.0,arctic_a0016,3.880000114440918,1.0,0.9020618796348572,1.0,0,12,0.92706298828125,1.0,0.55,8.0,bdl,37.0,train,35.0,16.0,9.0,8.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,18.0,11.0,10.0,9.0,7.0,24.691057205200195,17.07526206970215,17.07526206970215,17.07526206970215,17.07526206970215,17.07526206970215,45.0
0.7340574264526367,0.3758240342140198,0.6267273068428041,48.0,23.0,14.0,14.0,12.0,11.0,54.0,11.0,1.0,9.0,1.0,11.0,22.025671005249023,1.0,1.0,1.0,1.0,1.0,1.0,bdl_train_arctic_a0017,54,0.0,arctic_a0017,4.039999961853027,1.0,0.9356435537338257,1.0,0,9,0.7851685285568237,1.0,0.55,6.0,bdl,48.0,train,46.0,21.0,12.0,12.0,10.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,48.0,23.0,14.0,14.0,12.0,11.0,31.97536277770996,22.025671005249023,22.025671005249023,22.025671005249023,22.025671005249023,22.025671005249023,54.0
0.9304544925689697,0.39657020568847656,0.6607746303081513,31.0,14.0,9.0,7.0,4.0,4.0,38.0,4.0,1.0,2.0,1.0,4.0,13.494383811950684,1.0,1.0,1.0,1.0,1.0,1.0,bdl_train_arctic_a0019,38,0.0,arctic_a0019,3.7799999713897705,1.0,0.9312169551849365,1.0,0,9,0.9438023567199707,1.0,0.55,7.0,bdl,31.0,train,29.0,12.0,7.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,14.0,9.0,7.0,4.0,4.0,21.995155334472656,13.494383811950684,13.494383811950684,13.494383811950684,13.494383811950684,13.494383811950684,38.0
0.9704228639602661,0.4216003119945526,0.6955681920051575,27.0,12.0,10.0,9.0,7.0,7.0,33.0,7.0,1.0,5.0,1.0,7.0,12.767145156860352,1.0,1.0,1.0,1.0,1.0,1.0,bdl_train_arctic_a0020,33,0.0,arctic_a0020,3.4800000190734863,1.0,0.9137930870056152,1.0,0,10,0.9759986996650696,1.0,0.55,6.0,bdl,27.0,train,25.0,10.0,8.0,7.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,12.0,10.0,9.0,7.0,7.0,17.464414596557617,12.767145156860352,12.767145156860352,12.767145156860352,12.767145156860352,12.767145156860352,33.0
